5046,0,http://www.fivay.org/stilt_houses.html
5046,1,http://www.findingmyflorida.com/2012/07/tour-six-part-six-stilt-houses.html
5046,2,http://www.coastalliving.com/travel/lodging-dining/best-seafood-restaurants-california-00414000070559/
5046,3,http://www.tumblr.com/tagged/stilt%2520houses%3Flanguage%3Dpt_PT
5046,4,http://fractalenlightenment.com/940/culture/the-old-custom-of-stilt-fishing-in-sri-lanka
5046,5,http://hubpages.com/hub/Gulf-Stilt-Houses-Historic-Fishing-Lodges
5046,6,http://wikitravel.org/en/Little_Corn_Island
5046,7,http://www.tripadvisor.com/ShowUserReviews-g3652237-d638712-r7845309-Flamingo_Bay_Water_Lodge-Inhambane_Province.html
5046,8,http://wikirhymer.com/words/stilts/near-rhymes
5046,9,http://www.islandparadisecharters.com/links.htm
5048,0,http://www.fivay.org/stilt_houses.html
5048,1,http://www.findingmyflorida.com/2012/07/tour-six-part-six-stilt-houses.html
5048,2,http://www.coastalliving.com/travel/lodging-dining/best-seafood-restaurants-california-00414000070559/
5048,3,http://www.tumblr.com/tagged/stilt%2520houses%3Flanguage%3Dpt_PT
5048,4,http://fractalenlightenment.com/940/culture/the-old-custom-of-stilt-fishing-in-sri-lanka
5048,5,http://hubpages.com/hub/Gulf-Stilt-Houses-Historic-Fishing-Lodges
5048,6,http://wikitravel.org/en/Little_Corn_Island
5048,7,http://www.tripadvisor.com/ShowUserReviews-g3652237-d638712-r7845309-Flamingo_Bay_Water_Lodge-Inhambane_Province.html
5048,8,http://wikirhymer.com/words/stilts/near-rhymes
5048,9,http://www.islandparadisecharters.com/links.htm
5052,1,http://www.youtube.com/watch%3Fv%3D4auSVUzMFBw
5052,2,http://www.environmentalgraffiti.com/featured/stilt-fishermen-kathaluwa/10309
5052,3,http://fractalenlightenment.com/940/culture/the-old-custom-of-stilt-fishing-in-sri-lanka
5052,4,http://www.odditycentral.com/pics/the-stilt-fishermen-of-sri-lanka.html
5052,5,http://www.travelocafe.com/2011/01/picture-perfect-stilt-fishing-in-sri.html
5052,6,http://www.flickr.com/photos/samsays/sets/72157614639237218/
5052,7,http://commons.wikimedia.org/wiki/File:Stilts_fishermen_Sri_Lanka_02.jpg
5052,8,http://www.tripadvisor.com/ShowTopic-g293961-i8983-k5095714-Stilt_fishing-Sri_Lanka.html
5052,9,http://deafnation.com/joelbarish/world-tour/sri-lanka-the-stilt-fishermen/
5052,10,http://www.afar.com/highlights/the-stilt-fishermen
